icb_code,predictor_period,target_year,hba1c,blood_pressure,cholesterol,serum_creatinine,urine_albumin,foot_surveillance,bmi,smoking,all_eight_care_processes,hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,all_three_treatment_targets,primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins
QE1,2018_19,2020,95.50965885737772,96.2334926262782,93.25831149478444,95.26231951081652,68.1773804018293,85.20117157391707,89.6099892091876,96.336262268126,61.39025893958077,35.968124057721305,55.309067413310366,68.2479000646134,88.79496015507216,94.16325651518414,77.13170001069862,42.95094847906611,69.83272606823452,85.91810264962015,74.78967549934184
QF7,2018_19,2020,96.36681222707423,96.75578076766264,93.2960568466422,94.57161162560428,53.41021608713379,88.48506028306832,91.09441435144736,96.05684664220398,47.88937409024746,34.72742656835489,52.98561585881784,66.36044965550586,87.88226761755107,93.69031790160764,74.8132530120482,42.32743867655448,77.10409745293467,88.4871339840284,80.44838373305527
QGH,2018_19,2020,96.31845375057524,96.97388102634908,94.09734207801174,96.16845012081464,64.7911632723507,88.90806581521113,90.8065815211138,95.75422851225406,60.51541647491947,34.186909177934666,54.4932392006701,68.84049299988034,89.58956563360057,94.53153045351202,76.7721217887726,43.52209085252022,66.0431654676259,81.10161443494776,70.15781922525107
QH8,2018_19,2020,93.74787342633547,95.39456882608326,90.6529326636588,92.60236656167532,30.663148037796883,85.11960500553333,79.69694390057036,92.53426406742147,24.4385845525689,37.50453720508167,55.40834845735028,69.05626134301271,89.20145190562614,94.38294010889292,71.37100385063133,41.4212112374842,69.51000513083633,85.96096096096096,73.68320428257337
QHG,2018_19,2020,94.57333857648447,96.047197640118,92.52704031465092,93.41199606686332,45.13274336283185,87.52212389380531,90.04916420845625,96.51917404129794,40.808100668501766,29.604989604989605,48.274428274428274,63.12889812889813,86.22661122661123,92.5987525987526,69.63645673323093,37.93852503529923,69.8591962452332,87.05989940557842,74.04486894713462
QHL,2018_19,2020,95.00510334268944,96.33694958519465,93.96298659859605,94.80536056158265,68.25781748564135,88.71729419272495,89.8532227185705,97.15379706445437,62.10768053074764,31.95306177502023,52.64364715403291,66.96789857027245,87.78661990828162,93.19530617750202,74.0492466980819,40.90718185636288,73.62275449101796,88.26815642458101,77.62537194281153
QHM,2018_19,2020,96.43418067593508,96.90736646107295,93.98056557663216,95.43232863959037,58.65821017106948,87.0068660537647,91.57744675898988,96.75317118584896,52.26281193647839,32.15072918868324,51.6712461125034,65.41562245236872,86.9500890727377,92.93456928047344,74.92260992396237,41.1104826546003,73.33551984257134,87.03413717507047,77.57906991785784
QJ2,2018_19,2020,95.79520158298294,97.0884196634774,92.88188716595182,94.9109204882877,62.53711646321346,86.60508083140877,90.3909600791818,95.22434839986803,53.277269354439774,34.090909090909086,51.59263085399449,64.68663911845731,86.04511019283747,92.57920110192838,73.49366873459675,40.09613640486124,71.24886525742446,85.57229881372234,75.38092159940899
QJG,2018_19,2020,96.43322312393548,97.06353978753258,94.06694728402486,95.47003407496491,63.96071356985368,90.26859089997996,92.28302264982965,96.5423932651834,59.16240857629496,34.7134089254135,53.9789867887236,68.32414438780818,89.83667949651513,94.75709976074066,77.09237445753256,45.73971561923369,70.60218112849692,84.22523961661342,74.48471121177803
QJK,2018_19,2020,95.76106401182236,95.96234635133032,92.11140501011356,94.32083398163996,59.42897152637311,85.19526995487786,88.14376847673876,93.9629687256885,51.92502138912655,32.41132443865929,52.65213146762122,66.33582818093069,87.74812886430199,93.60559713634883,71.05861341126807,38.84105390046496,68.30374008311296,81.3150847961916,72.17306671385596
QJM,2018_19,2020,96.51011089367256,97.0530665506742,93.9538929969552,95.0413223140496,54.59982601130926,87.03784254023489,90.25663331883428,94.58460200086996,48.02130898021309,36.34314057039793,55.85616052305264,69.80047345282381,90.14767219028296,94.9949272911735,77.11721817162086,44.74456840869054,69.41739279002222,84.29297205757833,73.69125882639396
QK1,2018_19,2020,95.83086930810173,95.96273291925466,93.30819284235432,94.10677314404022,59.61993493049393,86.73469387755102,83.49600709849157,94.98669032830524,49.97043169722058,36.34469989199198,56.0793087486499,69.7886128683845,89.7238080543126,94.5764542508872,73.6663583102066,45.23367503430463,68.91817682591982,85.64290473017988,73.05913445655764
QKK,2018_19,2020,94.52161785216178,95.87030526257044,92.6837435124728,93.5989731569842,69.66348568558513,85.95903789273956,88.31408002678721,96.17724203359562,62.46025104602511,35.40457291790072,54.33005568060656,67.81187063144178,86.71365951901433,92.40018955100106,75.35428938006649,44.68427237305956,67.16843606401521,86.75340035481963,71.29467633091727
QKS,2018_19,2020,93.26158165652784,94.65883087164552,90.58664447680464,93.43145412939464,58.1547742874974,82.2654462242563,83.64884543374245,93.79030580403578,50.1117870327042,34.43018106396099,53.57363080890184,67.55984079825103,88.300913728348,93.67116990862716,72.57904594028865,40.810117520730174,69.07858437770946,85.08928571428571,73.24673811742777
QM7,2018_19,2020,94.72700074794317,95.89256322011072,92.06194822684424,93.6330989076762,59.00793057010325,87.0492293879994,87.10160107736047,94.87505611252432,52.071802543006726,32.30109575988566,53.00142925202478,67.42099412418612,88.66920755915515,93.96538033984436,72.42457401907144,41.98760884125921,71.10578568983225,87.01986754966887,75.176101162692
QMF,2018_19,2020,93.95851025112216,96.91970980423945,92.5262432618652,92.8423783082722,66.90714546265148,89.60807360272362,90.32140396384712,97.15073156892149,61.50268915039023,30.986465382613225,49.7744230435537,64.17664410897103,85.76696165191741,92.04407426687489,78.11674977999414,43.37739411923389,75.41387812610074,90.74035453597496,78.78871174638078
QMJ,2018_19,2020,94.34504086591562,96.08103130755065,92.99447513812154,93.4585635359116,66.11418047882137,87.36648250460405,85.45856353591161,95.75690607734806,58.00014726456079,33.77467878408022,54.16013788780947,67.87057348793482,87.25321215919774,92.67471012221874,77.06266820453672,45.8173820966034,71.74120896632317,89.21315108976728,75.64980608961135
