model,feature_set,alpha,feature,standardised_coefficient,abs_standardised_coefficient
linear_regression,lag_only,,lagged_ckd_rate,21.2623,21.2623
linear_regression,lag_plus_compact_5,,lagged_ckd_rate,22.7244,22.7244
linear_regression,lag_plus_compact_5,,urine_albumin,2.3412,2.3412
linear_regression,lag_plus_compact_5,,serum_creatinine,-3.8246,3.8246
linear_regression,lag_plus_compact_5,,hba1c_le_58_mmol_mol_7_5pct,-0.6857,0.6857
linear_regression,lag_plus_compact_5,,blood_pressure_le_140_80,-2.0813,2.0813
linear_regression,lag_plus_compact_5,,combined_prevention_on_statins,-0.4875,0.4875
linear_regression,lag_plus_full_19,,lagged_ckd_rate,19.4089,19.4089
linear_regression,lag_plus_full_19,,hba1c,1.7269,1.7269
linear_regression,lag_plus_full_19,,blood_pressure,5.4321,5.4321
linear_regression,lag_plus_full_19,,cholesterol,-6.8434,6.8434
linear_regression,lag_plus_full_19,,serum_creatinine,0.9629,0.9629
linear_regression,lag_plus_full_19,,urine_albumin,9.0191,9.0191
linear_regression,lag_plus_full_19,,foot_surveillance,-4.6146,4.6146
linear_regression,lag_plus_full_19,,bmi,1.8466,1.8466
linear_regression,lag_plus_full_19,,smoking,2.3921,2.3921
linear_regression,lag_plus_full_19,,all_eight_care_processes,-9.6744,9.6744
linear_regression,lag_plus_full_19,,hba1c_le_48_mmol_mol_6_5pct,-1.8928,1.8928
linear_regression,lag_plus_full_19,,hba1c_le_53_mmol_mol_7_0pct,4.7447,4.7447
linear_regression,lag_plus_full_19,,hba1c_le_58_mmol_mol_7_5pct,-6.9466,6.9466
linear_regression,lag_plus_full_19,,hba1c_le_75_mmol_mol_9_0pct,7.059,7.059
linear_regression,lag_plus_full_19,,hba1c_le_86_mmol_mol_10_0pct,-2.1296,2.1296
linear_regression,lag_plus_full_19,,blood_pressure_le_140_80,-1.8028,1.8028
linear_regression,lag_plus_full_19,,primary_prevention_on_statins_without_cvd_history,8.6535,8.6535
linear_regression,lag_plus_full_19,,secondary_prevention_on_statins_with_cvd_history,-1.9615,1.9615
linear_regression,lag_plus_full_19,,combined_prevention_on_statins,-8.8381,8.8381
linear_regression,lag_plus_full_19,,all_three_treatment_targets,2.4747,2.4747
ridge_regression,lag_plus_compact_5,1.0,lagged_ckd_rate,22.325,22.325
ridge_regression,lag_plus_compact_5,1.0,urine_albumin,2.2619,2.2619
ridge_regression,lag_plus_compact_5,1.0,serum_creatinine,-3.6388,3.6388
ridge_regression,lag_plus_compact_5,1.0,hba1c_le_58_mmol_mol_7_5pct,-0.7088,0.7088
ridge_regression,lag_plus_compact_5,1.0,blood_pressure_le_140_80,-2.0485,2.0485
ridge_regression,lag_plus_compact_5,1.0,combined_prevention_on_statins,-0.6183,0.6183
ridge_regression,lag_plus_full_19,10.0,lagged_ckd_rate,16.2825,16.2825
ridge_regression,lag_plus_full_19,10.0,hba1c,0.9092,0.9092
ridge_regression,lag_plus_full_19,10.0,blood_pressure,3.0862,3.0862
ridge_regression,lag_plus_full_19,10.0,cholesterol,-3.5733,3.5733
ridge_regression,lag_plus_full_19,10.0,serum_creatinine,-0.9024,0.9024
ridge_regression,lag_plus_full_19,10.0,urine_albumin,1.962,1.962
ridge_regression,lag_plus_full_19,10.0,foot_surveillance,-3.4844,3.4844
ridge_regression,lag_plus_full_19,10.0,bmi,2.385,2.385
ridge_regression,lag_plus_full_19,10.0,smoking,-1.1883,1.1883
ridge_regression,lag_plus_full_19,10.0,all_eight_care_processes,-1.1283,1.1283
ridge_regression,lag_plus_full_19,10.0,hba1c_le_48_mmol_mol_6_5pct,0.2822,0.2822
ridge_regression,lag_plus_full_19,10.0,hba1c_le_53_mmol_mol_7_0pct,-0.1837,0.1837
ridge_regression,lag_plus_full_19,10.0,hba1c_le_58_mmol_mol_7_5pct,-0.6658,0.6658
ridge_regression,lag_plus_full_19,10.0,hba1c_le_75_mmol_mol_9_0pct,1.1049,1.1049
ridge_regression,lag_plus_full_19,10.0,hba1c_le_86_mmol_mol_10_0pct,1.4798,1.4798
ridge_regression,lag_plus_full_19,10.0,blood_pressure_le_140_80,-0.7111,0.7111
ridge_regression,lag_plus_full_19,10.0,primary_prevention_on_statins_without_cvd_history,0.6045,0.6045
ridge_regression,lag_plus_full_19,10.0,secondary_prevention_on_statins_with_cvd_history,-3.1846,3.1846
ridge_regression,lag_plus_full_19,10.0,combined_prevention_on_statins,0.2646,0.2646
ridge_regression,lag_plus_full_19,10.0,all_three_treatment_targets,0.0619,0.0619
