feature_set,alpha,mae,rmse,r2
lag_plus_compact_5,0.01,5.0202,6.4531,0.8817
lag_plus_compact_5,0.1,5.0143,6.4441,0.8821
lag_plus_compact_5,1.0,4.9946,6.3625,0.885
lag_plus_compact_5,10.0,5.1103,6.1821,0.8915
lag_plus_compact_5,100.0,8.7957,10.8054,0.6684
lag_plus_compact_5,1000.0,13.7157,17.128,0.1668
lag_plus_full_19,0.01,20.7496,24.9119,-0.7626
lag_plus_full_19,0.1,19.7026,23.7955,-0.6082
lag_plus_full_19,1.0,14.9461,18.7284,0.0038
lag_plus_full_19,10.0,8.283,10.9213,0.6612
lag_plus_full_19,100.0,9.2974,12.1028,0.584
lag_plus_full_19,1000.0,12.2938,15.4332,0.3235
