previous_year,current_year,icb_code,icb_name,previous_ckd_rate,current_ckd_rate,signed_change,absolute_change,percent_change,direction
2019,2020,QE1,NHS Lancashire and South Cumbria ICB,163.3,130.8,-32.5,32.5,-19.902,decrease
2019,2020,QF7,NHS South Yorkshire ICB,144.3,135.4,-8.9,8.9,-6.168,decrease
2019,2020,QGH,NHS Herefordshire and Worcestershire ICB,192.4,172.0,-20.4,20.4,-10.603,decrease
2019,2020,QH8,NHS Mid and South Essex ICB,134.8,99.0,-35.8,35.8,-26.558,decrease
2019,2020,QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",148.3,134.8,-13.5,13.5,-9.103,decrease
2019,2020,QHL,NHS Birmingham and Solihull ICB,136.8,114.2,-22.6,22.6,-16.52,decrease
2019,2020,QHM,NHS North East and North Cumbria ICB,175.2,156.4,-18.8,18.8,-10.731,decrease
2019,2020,QJ2,NHS Derby and Derbyshire ICB,182.0,173.6,-8.4,8.4,-4.615,decrease
2019,2020,QJG,NHS Suffolk and North East Essex ICB,199.3,179.2,-20.1,20.1,-10.085,decrease
2019,2020,QJK,NHS Devon ICB,195.1,184.6,-10.5,10.5,-5.382,decrease
2019,2020,QJM,NHS Lincolnshire ICB,182.5,179.5,-3.0,3.0,-1.644,decrease
2019,2020,QK1,"NHS Leicester, Leicestershire and Rutland ICB",143.6,129.3,-14.3,14.3,-9.958,decrease
2019,2020,QKK,NHS South East London ICB,133.6,117.4,-16.2,16.2,-12.126,decrease
2019,2020,QKS,NHS Kent and Medway ICB,152.7,132.8,-19.9,19.9,-13.032,decrease
2019,2020,QM7,NHS Hertfordshire and West Essex ICB,153.0,141.8,-11.2,11.2,-7.32,decrease
2019,2020,QMF,NHS North East London ICB,127.2,105.5,-21.7,21.7,-17.06,decrease
2019,2020,QMJ,NHS North Central London ICB,127.4,118.4,-9.0,9.0,-7.064,decrease
2019,2020,QMM,NHS Norfolk and Waveney ICB,159.8,157.3,-2.5,2.5,-1.564,decrease
2019,2020,QNC,NHS Staffordshire and Stoke-On-Trent ICB,143.9,124.4,-19.5,19.5,-13.551,decrease
2019,2020,QNQ,NHS Frimley ICB,134.6,129.3,-5.3,5.3,-3.938,decrease
2019,2020,QNX,NHS Sussex ICB,183.6,156.9,-26.7,26.7,-14.542,decrease
2019,2020,QOC,"NHS Shropshire, Telford and Wrekin ICB",193.0,180.8,-12.2,12.2,-6.321,decrease
2019,2020,QOP,NHS Greater Manchester ICB,145.4,123.6,-21.8,21.8,-14.993,decrease
2019,2020,QOQ,NHS Humber and North Yorkshire ICB,189.2,169.7,-19.5,19.5,-10.307,decrease
2019,2020,QOX,"NHS Bath and North East Somerset, Swindon and Wiltshire ICB",177.3,159.2,-18.1,18.1,-10.209,decrease
2019,2020,QPM,NHS Northamptonshire ICB,145.2,140.6,-4.6,4.6,-3.168,decrease
2019,2020,QR1,NHS Gloucestershire ICB,182.2,162.7,-19.5,19.5,-10.703,decrease
2019,2020,QRL,NHS Hampshire and Isle Of Wight ICB,122.2,106.1,-16.1,16.1,-13.175,decrease
2019,2020,QRV,NHS North West London ICB,106.2,97.8,-8.4,8.4,-7.91,decrease
2019,2020,QSL,NHS Somerset ICB,157.3,142.4,-14.9,14.9,-9.472,decrease
2019,2020,QT1,NHS Nottingham and Nottinghamshire ICB,142.9,137.8,-5.1,5.1,-3.569,decrease
2019,2020,QT6,NHS Cornwall and The Isles Of Scilly ICB,197.8,192.7,-5.1,5.1,-2.578,decrease
2019,2020,QU9,"NHS Buckinghamshire, Oxfordshire and Berkshire West ICB",136.6,127.5,-9.1,9.1,-6.662,decrease
2019,2020,QUA,NHS Black Country ICB,167.0,147.4,-19.6,19.6,-11.737,decrease
2019,2020,QUE,NHS Cambridgeshire and Peterborough ICB,143.9,140.8,-3.1,3.1,-2.154,decrease
2019,2020,QUY,"NHS Bristol, North Somerset and South Gloucestershire ICB",171.7,161.1,-10.6,10.6,-6.174,decrease
2019,2020,QVV,NHS Dorset ICB,190.0,178.2,-11.8,11.8,-6.211,decrease
2019,2020,QWE,NHS South West London ICB,133.9,122.6,-11.3,11.3,-8.439,decrease
2019,2020,QWO,NHS West Yorkshire ICB,145.0,129.5,-15.5,15.5,-10.69,decrease
2019,2020,QWU,NHS Coventry and Warwickshire ICB,182.2,161.6,-20.6,20.6,-11.306,decrease
2019,2020,QXU,NHS Surrey Heartlands ICB,143.2,130.5,-12.7,12.7,-8.869,decrease
2019,2020,QYG,NHS Cheshire and Merseyside ICB,171.6,147.4,-24.2,24.2,-14.103,decrease
2020,2021,QE1,NHS Lancashire and South Cumbria ICB,130.8,131.9,1.1,1.1,0.841,increase
2020,2021,QF7,NHS South Yorkshire ICB,135.4,136.6,1.2,1.2,0.886,increase
2020,2021,QGH,NHS Herefordshire and Worcestershire ICB,172.0,165.9,-6.1,6.1,-3.547,decrease
2020,2021,QH8,NHS Mid and South Essex ICB,99.0,128.1,29.1,29.1,29.394,increase
2020,2021,QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",134.8,126.7,-8.1,8.1,-6.009,decrease
2020,2021,QHL,NHS Birmingham and Solihull ICB,114.2,107.1,-7.1,7.1,-6.217,decrease
