feature_a,feature_b,pooled_spearman,abs_pooled_spearman,pooled_p_value,spearman_2018_19,spearman_2019_20,spearman_2020_21,spearman_2021_22,min_within_year_abs_spearman,median_within_year_abs_spearman,mean_within_year_abs_spearman,max_within_year_abs_spearman,high_pooled_correlation_flag,very_high_pooled_correlation_flag,consistently_strong_redundancy_flag,pooled_year_effect_caution_flag
primary_prevention_on_statins_without_cvd_history,combined_prevention_on_statins,0.982,0.982,0.0,0.982,0.97,0.977,0.967,0.967,0.974,0.974,0.982,True,True,True,False
hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,0.974,0.974,0.0,0.946,0.965,0.954,0.966,0.946,0.959,0.957,0.966,True,True,True,False
hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,0.969,0.969,0.0,0.97,0.946,0.956,0.963,0.946,0.959,0.959,0.97,True,True,True,False
hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,0.928,0.928,0.0,0.915,0.861,0.917,0.963,0.861,0.916,0.914,0.963,True,False,True,False
hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,0.912,0.912,0.0,0.83,0.829,0.882,0.899,0.829,0.856,0.86,0.899,True,False,True,False
blood_pressure,cholesterol,0.96,0.96,0.0,0.669,0.647,0.77,0.716,0.647,0.692,0.7,0.77,True,True,False,False
hba1c,blood_pressure,0.958,0.958,0.0,0.75,0.706,0.898,0.941,0.706,0.824,0.824,0.941,True,True,False,False
blood_pressure,foot_surveillance,0.938,0.938,0.0,0.455,0.615,0.643,0.619,0.455,0.617,0.583,0.643,True,False,False,True
cholesterol,foot_surveillance,0.937,0.937,0.0,0.515,0.399,0.607,0.53,0.399,0.522,0.513,0.607,True,False,False,True
hba1c,cholesterol,0.934,0.934,0.0,0.541,0.561,0.829,0.776,0.541,0.669,0.677,0.829,True,False,False,True
blood_pressure,bmi,0.928,0.928,0.0,0.653,0.695,0.817,0.764,0.653,0.729,0.732,0.817,True,False,False,False
hba1c,serum_creatinine,0.919,0.919,0.0,0.609,0.886,0.955,0.955,0.609,0.921,0.851,0.955,True,False,False,False
foot_surveillance,smoking,0.918,0.918,0.0,0.66,0.684,0.686,0.659,0.659,0.672,0.672,0.686,True,False,False,False
urine_albumin,all_eight_care_processes,0.905,0.905,0.0,0.965,0.784,0.884,0.865,0.784,0.874,0.875,0.965,True,False,False,False
foot_surveillance,bmi,0.9,0.9,0.0,0.424,0.538,0.68,0.688,0.424,0.609,0.582,0.688,True,False,False,True
blood_pressure_le_140_80,all_three_treatment_targets,0.9,0.9,0.0,0.765,0.76,0.803,0.836,0.76,0.784,0.791,0.836,True,False,False,False
