feature,pairs_with_abs_pooled_rho_ge_0_90,pairs_with_abs_pooled_rho_ge_0_95,consistently_strong_pairs,pooled_year_effect_caution_pairs,maximum_abs_pooled_spearman
hba1c_le_75_mmol_mol_9_0pct,2,1,2,0,0.974
hba1c_le_53_mmol_mol_7_0pct,2,1,2,0,0.969
hba1c_le_58_mmol_mol_7_5pct,2,1,2,0,0.969
primary_prevention_on_statins_without_cvd_history,1,1,1,0,0.982
combined_prevention_on_statins,1,1,1,0,0.982
hba1c_le_86_mmol_mol_10_0pct,1,1,1,0,0.974
hba1c_le_48_mmol_mol_6_5pct,1,0,1,0,0.928
blood_pressure,4,2,0,1,0.96
cholesterol,3,1,0,2,0.96
hba1c,3,1,0,1,0.958
foot_surveillance,4,0,0,3,0.938
bmi,2,0,0,1,0.928
serum_creatinine,1,0,0,0,0.919
smoking,1,0,0,0,0.918
urine_albumin,1,0,0,0,0.905
all_eight_care_processes,1,0,0,0,0.905
blood_pressure_le_140_80,1,0,0,0,0.9
all_three_treatment_targets,1,0,0,0,0.9
secondary_prevention_on_statins_with_cvd_history,0,0,0,0,0.734
