feature_a,feature_b,audit_year,spearman_rho,abs_spearman_rho,p_value
hba1c,blood_pressure,2018_19,0.75,0.75,0.0
hba1c,blood_pressure,2019_20,0.706,0.706,0.0
hba1c,blood_pressure,2020_21,0.898,0.898,0.0
hba1c,blood_pressure,2021_22,0.941,0.941,0.0
hba1c,cholesterol,2018_19,0.541,0.541,0.0
hba1c,cholesterol,2019_20,0.561,0.561,0.0
hba1c,cholesterol,2020_21,0.829,0.829,0.0
hba1c,cholesterol,2021_22,0.776,0.776,0.0
hba1c,serum_creatinine,2018_19,0.609,0.609,0.0
hba1c,serum_creatinine,2019_20,0.886,0.886,0.0
hba1c,serum_creatinine,2020_21,0.955,0.955,0.0
hba1c,serum_creatinine,2021_22,0.955,0.955,0.0
hba1c,urine_albumin,2018_19,-0.129,0.129,0.415
hba1c,urine_albumin,2019_20,0.093,0.093,0.559
hba1c,urine_albumin,2020_21,0.458,0.458,0.002
hba1c,urine_albumin,2021_22,0.349,0.349,0.023
hba1c,foot_surveillance,2018_19,0.159,0.159,0.315
hba1c,foot_surveillance,2019_20,0.248,0.248,0.113
hba1c,foot_surveillance,2020_21,0.469,0.469,0.002
hba1c,foot_surveillance,2021_22,0.512,0.512,0.001
hba1c,bmi,2018_19,0.49,0.49,0.001
hba1c,bmi,2019_20,0.551,0.551,0.0
hba1c,bmi,2020_21,0.677,0.677,0.0
hba1c,bmi,2021_22,0.633,0.633,0.0
hba1c,smoking,2018_19,0.073,0.073,0.644
hba1c,smoking,2019_20,0.112,0.112,0.48
hba1c,smoking,2020_21,0.204,0.204,0.195
hba1c,smoking,2021_22,0.36,0.36,0.019
hba1c,all_eight_care_processes,2018_19,-0.138,0.138,0.382
hba1c,all_eight_care_processes,2019_20,0.228,0.228,0.146
hba1c,all_eight_care_processes,2020_21,0.399,0.399,0.009
hba1c,all_eight_care_processes,2021_22,0.326,0.326,0.035
hba1c,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.115,0.115,0.467
hba1c,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.114,0.114,0.473
hba1c,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.482,0.482,0.001
hba1c,hba1c_le_48_mmol_mol_6_5pct,2021_22,-0.226,0.226,0.15
hba1c,hba1c_le_53_mmol_mol_7_0pct,2018_19,0.064,0.064,0.688
hba1c,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.142,0.142,0.37
hba1c,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.453,0.453,0.003
hba1c,hba1c_le_53_mmol_mol_7_0pct,2021_22,-0.202,0.202,0.199
hba1c,hba1c_le_58_mmol_mol_7_5pct,2018_19,0.002,0.002,0.992
hba1c,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.202,0.202,0.198
hba1c,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.4,0.4,0.009
hba1c,hba1c_le_58_mmol_mol_7_5pct,2021_22,-0.144,0.144,0.363
hba1c,hba1c_le_75_mmol_mol_9_0pct,2018_19,0.125,0.125,0.43
hba1c,hba1c_le_75_mmol_mol_9_0pct,2019_20,0.002,0.002,0.992
hba1c,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.131,0.131,0.408
hba1c,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.08,0.08,0.613
hba1c,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.221,0.221,0.16
hba1c,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.107,0.107,0.501
hba1c,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.013,0.013,0.936
hba1c,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.178,0.178,0.261
hba1c,blood_pressure_le_140_80,2018_19,0.066,0.066,0.68
hba1c,blood_pressure_le_140_80,2019_20,0.01,0.01,0.95
hba1c,blood_pressure_le_140_80,2020_21,-0.273,0.273,0.08
hba1c,blood_pressure_le_140_80,2021_22,0.042,0.042,0.793
hba1c,primary_prevention_on_statins_without_cvd_history,2018_19,0.126,0.126,0.427
hba1c,primary_prevention_on_statins_without_cvd_history,2019_20,0.024,0.024,0.881
hba1c,primary_prevention_on_statins_without_cvd_history,2020_21,-0.008,0.008,0.96
hba1c,primary_prevention_on_statins_without_cvd_history,2021_22,-0.027,0.027,0.863
hba1c,secondary_prevention_on_statins_with_cvd_history,2018_19,-0.23,0.23,0.143
hba1c,secondary_prevention_on_statins_with_cvd_history,2019_20,-0.368,0.368,0.016
hba1c,secondary_prevention_on_statins_with_cvd_history,2020_21,-0.277,0.277,0.076
hba1c,secondary_prevention_on_statins_with_cvd_history,2021_22,-0.249,0.249,0.112
hba1c,combined_prevention_on_statins,2018_19,0.141,0.141,0.375
hba1c,combined_prevention_on_statins,2019_20,0.025,0.025,0.877
hba1c,combined_prevention_on_statins,2020_21,-0.049,0.049,0.756
hba1c,combined_prevention_on_statins,2021_22,-0.007,0.007,0.966
hba1c,all_three_treatment_targets,2018_19,-0.051,0.051,0.75
hba1c,all_three_treatment_targets,2019_20,-0.224,0.224,0.154
hba1c,all_three_treatment_targets,2020_21,-0.415,0.415,0.006
hba1c,all_three_treatment_targets,2021_22,-0.159,0.159,0.316
blood_pressure,cholesterol,2018_19,0.669,0.669,0.0
blood_pressure,cholesterol,2019_20,0.647,0.647,0.0
blood_pressure,cholesterol,2020_21,0.77,0.77,0.0
blood_pressure,cholesterol,2021_22,0.716,0.716,0.0
blood_pressure,serum_creatinine,2018_19,0.482,0.482,0.001
blood_pressure,serum_creatinine,2019_20,0.618,0.618,0.0
blood_pressure,serum_creatinine,2020_21,0.879,0.879,0.0
blood_pressure,serum_creatinine,2021_22,0.915,0.915,0.0
blood_pressure,urine_albumin,2018_19,-0.012,0.012,0.942
blood_pressure,urine_albumin,2019_20,0.191,0.191,0.224
blood_pressure,urine_albumin,2020_21,0.588,0.588,0.0
blood_pressure,urine_albumin,2021_22,0.477,0.477,0.001
blood_pressure,foot_surveillance,2018_19,0.455,0.455,0.002
blood_pressure,foot_surveillance,2019_20,0.615,0.615,0.0
blood_pressure,foot_surveillance,2020_21,0.643,0.643,0.0
blood_pressure,foot_surveillance,2021_22,0.619,0.619,0.0
blood_pressure,bmi,2018_19,0.653,0.653,0.0
blood_pressure,bmi,2019_20,0.695,0.695,0.0
blood_pressure,bmi,2020_21,0.817,0.817,0.0
blood_pressure,bmi,2021_22,0.764,0.764,0.0
blood_pressure,smoking,2018_19,0.369,0.369,0.016
blood_pressure,smoking,2019_20,0.448,0.448,0.003
blood_pressure,smoking,2020_21,0.349,0.349,0.023
blood_pressure,smoking,2021_22,0.396,0.396,0.009
blood_pressure,all_eight_care_processes,2018_19,0.015,0.015,0.924
blood_pressure,all_eight_care_processes,2019_20,0.296,0.296,0.057
blood_pressure,all_eight_care_processes,2020_21,0.582,0.582,0.0
blood_pressure,all_eight_care_processes,2021_22,0.479,0.479,0.001
blood_pressure,hba1c_le_48_mmol_mol_6_5pct,2018_19,0.05,0.05,0.754
blood_pressure,hba1c_le_48_mmol_mol_6_5pct,2019_20,-0.068,0.068,0.668
blood_pressure,hba1c_le_48_mmol_mol_6_5pct,2020_21,-0.531,0.531,0.0
blood_pressure,hba1c_le_48_mmol_mol_6_5pct,2021_22,-0.249,0.249,0.112
blood_pressure,hba1c_le_53_mmol_mol_7_0pct,2018_19,-0.03,0.03,0.852
blood_pressure,hba1c_le_53_mmol_mol_7_0pct,2019_20,-0.114,0.114,0.473
blood_pressure,hba1c_le_53_mmol_mol_7_0pct,2020_21,-0.496,0.496,0.001
blood_pressure,hba1c_le_53_mmol_mol_7_0pct,2021_22,-0.233,0.233,0.137
blood_pressure,hba1c_le_58_mmol_mol_7_5pct,2018_19,-0.049,0.049,0.756
blood_pressure,hba1c_le_58_mmol_mol_7_5pct,2019_20,-0.092,0.092,0.563
blood_pressure,hba1c_le_58_mmol_mol_7_5pct,2020_21,-0.459,0.459,0.002
blood_pressure,hba1c_le_58_mmol_mol_7_5pct,2021_22,-0.185,0.185,0.24
blood_pressure,hba1c_le_75_mmol_mol_9_0pct,2018_19,-0.006,0.006,0.97
blood_pressure,hba1c_le_75_mmol_mol_9_0pct,2019_20,-0.003,0.003,0.987
blood_pressure,hba1c_le_75_mmol_mol_9_0pct,2020_21,-0.21,0.21,0.182
blood_pressure,hba1c_le_75_mmol_mol_9_0pct,2021_22,0.036,0.036,0.821
blood_pressure,hba1c_le_86_mmol_mol_10_0pct,2018_19,0.027,0.027,0.863
blood_pressure,hba1c_le_86_mmol_mol_10_0pct,2019_20,0.046,0.046,0.773
blood_pressure,hba1c_le_86_mmol_mol_10_0pct,2020_21,-0.119,0.119,0.454
blood_pressure,hba1c_le_86_mmol_mol_10_0pct,2021_22,0.156,0.156,0.325
blood_pressure,blood_pressure_le_140_80,2018_19,0.37,0.37,0.016
blood_pressure,blood_pressure_le_140_80,2019_20,0.269,0.269,0.085
blood_pressure,blood_pressure_le_140_80,2020_21,-0.242,0.242,0.122
blood_pressure,blood_pressure_le_140_80,2021_22,0.023,0.023,0.885
blood_pressure,primary_prevention_on_statins_without_cvd_history,2018_19,0.407,0.407,0.007
