,hba1c,blood_pressure,cholesterol,serum_creatinine,urine_albumin,retinal_screening,foot_surveillance,bmi,smoking,all_eight_care_processes,all_nine_care_processes,hba1c_le_48_mmol_mol_6_5pct,hba1c_le_53_mmol_mol_7_0pct,hba1c_le_58_mmol_mol_7_5pct,hba1c_le_75_mmol_mol_9_0pct,hba1c_le_86_mmol_mol_10_0pct,blood_pressure_le_140_80,primary_prevention_on_statins_without_cvd_history,secondary_prevention_on_statins_with_cvd_history,combined_prevention_on_statins,all_three_treatment_targets
hba1c,1.0,0.9505601799775029,0.930888638920135,0.8976287964004499,0.7646494188226471,0.797549306336708,0.8673385826771653,0.90143232095988,0.7916700412448444,0.7955275590551181,0.8458252718410199,0.033304836895388074,0.1516040494938133,0.2425946756655418,0.35256092988376453,0.41805474315710534,0.5865616797900263,0.07649343832020998,-0.12277165354330709,0.05899962504686914,0.41929058867641544
blood_pressure,0.9505601799775029,1.0,0.9520539932508436,0.8774473190851143,0.7983412073490813,0.844103487064117,0.9335463067116611,0.9472305961754781,0.8493888263967004,0.8158590176227971,0.8821867266591676,0.055742032245969256,0.18148631421072367,0.2804199475065617,0.3616197975253093,0.41113760779902514,0.6281424821897262,0.11208098987626547,-0.06132733408323959,0.09733483314585677,0.4661447319085114
cholesterol,0.930888638920135,0.9520539932508436,1.0,0.8608473940757405,0.7684709411323585,0.8236760404949381,0.9200839895013123,0.9091413573303337,0.8891158605174353,0.8056122984626921,0.871382077240345,0.13496212973378327,0.2642819647544057,0.3618177727784027,0.4098417697787777,0.43690438695163103,0.6676355455568054,0.15483764529433822,0.04845894263217098,0.14373903262092239,0.550602174728159
serum_creatinine,0.8976287964004499,0.8774473190851143,0.8608473940757405,1.0,0.693132358455193,0.7024191976002999,0.7806554180727409,0.8483449568803899,0.7106501687289088,0.7989051368578928,0.8164169478815149,-0.04960479940007499,0.07841319835020623,0.16423247094113236,0.2845714285714286,0.3380007499062617,0.471748031496063,0.035578552680914886,-0.17936857892763405,0.02134233220847394,0.31219797525309334
urine_albumin,0.7646494188226471,0.7983412073490813,0.7684709411323585,0.693132358455193,1.0,0.6946261717285339,0.8261537307836521,0.8716160479940007,0.7756760404949381,0.9271091113610799,0.8757615298087739,0.0506726659167604,0.17698687664041995,0.25822272215973,0.2848233970753656,0.2916565429321335,0.4851743532058493,0.07960704911886014,0.010333708286464191,0.048752905886764154,0.38328308961379826
retinal_screening,0.797549306336708,0.844103487064117,0.8236760404949381,0.7024191976002999,0.6946261717285339,1.0,0.8385001874765654,0.8334308211473566,0.7529148856392951,0.7101762279715036,0.8954690663667042,0.0816827896512936,0.20359955005624297,0.278854143232096,0.32246269216347956,0.35090513685789276,0.5953745781777278,0.14862842144731908,-0.00011098612673415823,0.12656917885264343,0.46098537682789653
foot_surveillance,0.8673385826771653,0.9335463067116611,0.9200839895013123,0.7806554180727409,0.8261537307836521,0.8385001874765654,1.0,0.9305466816647919,0.9179602549681289,0.8714840644919385,0.9087274090738657,0.16363854518185228,0.29937157855268093,0.4051683539557555,0.453456317960255,0.4703622047244094,0.6670896137982752,0.14260517435320585,0.08162879640044994,0.12552530933633296,0.5785946756655418
bmi,0.90143232095988,0.9472305961754781,0.9091413573303337,0.8483449568803899,0.8716160479940007,0.8334308211473566,0.9305466816647919,1.0,0.8728998875140608,0.9008623922009749,0.933846269216348,0.019026621672290963,0.1506081739782527,0.2442984626921635,0.3225406824146982,0.3644334458192726,0.584755905511811,0.11587251593550806,-0.04700712410948631,0.09581102362204724,0.42890138732658417
smoking,0.7916700412448444,0.8493888263967004,0.8891158605174353,0.7106501687289088,0.7756760404949381,0.7529148856392951,0.9179602549681289,0.8728998875140608,1.0,0.8258597675290589,0.8553940757405324,0.17992050993625797,0.30220922384701915,0.3973573303337083,0.3777397825271841,0.36474540682414697,0.7315035620547432,0.25604499437570305,0.29330033745781775,0.25704086989126357,0.6399910011248594
all_eight_care_processes,0.7955275590551181,0.8158590176227971,0.8056122984626921,0.7989051368578928,0.9271091113610799,0.7101762279715036,0.8714840644919385,0.9008623922009749,0.8258597675290589,1.0,0.9305466816647919,0.05731983502062242,0.19729433820772405,0.2765564304461942,0.313511811023622,0.3184071991001125,0.5001844769403825,0.11645444319460067,0.044487439070116236,0.09349531308586427,0.408755905511811
