target_year,icb_code,icb_name,actual_ckd_rate,ridge_prediction,shap_base_value,lagged_ckd_rate_value,lagged_ckd_rate_shap,urine_albumin_value,urine_albumin_shap,serum_creatinine_value,serum_creatinine_shap,hba1c_le_58_mmol_mol_7_5pct_value,hba1c_le_58_mmol_mol_7_5pct_shap,blood_pressure_le_140_80_value,blood_pressure_le_140_80_shap,combined_prevention_on_statins_value,combined_prevention_on_statins_shap,largest_absolute_shap_feature,largest_absolute_shap_value
2023,QE1,NHS Lancashire and South Cumbria ICB,136.6,130.1258,143.6792,131.8,-15.4021,59.3675,-0.3114,89.3915,1.3099,62.9892,0.6245,70.4125,0.391,75.8738,-0.1652,lagged_ckd_rate,-15.4021
2023,QF7,NHS South Yorkshire ICB,141.5,134.004,143.6792,138.4,-9.6469,57.7375,-0.662,92.498,-0.8486,62.0238,0.9231,68.3208,1.3814,80.1717,-0.8222,lagged_ckd_rate,-9.6469
2023,QGH,NHS Herefordshire and Worcestershire ICB,168.1,157.8571,143.6792,164.7,13.2866,57.7463,-0.6601,92.0414,-0.5313,64.997,0.0033,67.3828,1.8255,73.1319,0.2539,lagged_ckd_rate,13.2866
2023,QH8,NHS Mid and South Essex ICB,150.4,146.7657,143.6792,151.3,1.6019,56.4946,-0.9294,89.9501,0.9218,65.8261,-0.2532,66.9291,2.0403,76.7217,-0.2948,blood_pressure_le_140_80,2.0403
2023,QHG,"NHS Bedfordshire, Luton and Milton Keynes ICB",134.8,135.1471,143.6792,133.0,-14.3557,58.2517,-0.5514,91.5012,-0.156,60.7381,1.3209,60.1599,5.2452,75.0221,-0.035,lagged_ckd_rate,-14.3557
2023,QHL,NHS Birmingham and Solihull ICB,114.5,113.153,143.6792,110.7,-33.8013,61.5509,0.1582,89.559,1.1935,65.0241,-0.0051,65.782,2.5834,79.077,-0.6549,lagged_ckd_rate,-33.8013
2023,QHM,NHS North East and North Cumbria ICB,159.4,150.9984,143.6792,157.3,6.8339,61.888,0.2308,92.6442,-0.9502,62.2037,0.8675,69.5053,0.8205,77.954,-0.4832,lagged_ckd_rate,6.8339
2023,QJ2,NHS Derby and Derbyshire ICB,159.2,154.8817,143.6792,158.3,7.7059,65.9154,1.0971,92.8361,-1.0835,60.1742,1.4954,66.9535,2.0287,75.0611,-0.041,lagged_ckd_rate,7.7059
2023,QJG,NHS Suffolk and North East Essex ICB,178.0,162.7089,143.6792,170.4,18.257,73.0436,2.6303,94.1041,-1.9646,65.5006,-0.1525,69.9243,0.6222,77.1661,-0.3628,lagged_ckd_rate,18.257
2023,QJK,NHS Devon ICB,176.2,171.9679,143.6792,178.4,25.233,64.3125,0.7523,92.2089,-0.6477,64.8086,0.0616,64.541,3.1709,76.6337,-0.2814,lagged_ckd_rate,25.233
2023,QJM,NHS Lincolnshire ICB,179.4,157.4858,143.6792,167.3,15.5538,59.1669,-0.3545,94.5522,-2.2759,62.3406,0.8251,70.7849,0.2147,75.8174,-0.1566,lagged_ckd_rate,15.5538
2023,QK1,"NHS Leicester, Leicestershire and Rutland ICB",153.0,131.0685,143.6792,132.9,-14.4429,62.2784,0.3147,91.9571,-0.4727,64.3922,0.1904,66.9571,2.027,76.2793,-0.2272,lagged_ckd_rate,-14.4429
2023,QKK,NHS South East London ICB,116.9,121.7334,143.6792,117.5,-27.8717,62.3476,0.3296,88.5757,1.8767,62.6775,0.7209,65.5332,2.7011,72.8465,0.2976,lagged_ckd_rate,-27.8717
