bootstrap_id,unweighted_mae_difference,weighted_mae_difference
1,-1.8172,-1.5194
2,-0.9747,-1.1638
3,-1.235,-1.189
4,-2.2297,-2.3514
5,-0.9806,-1.3377
6,-1.5041,-1.4157
7,-1.5632,-2.1033
8,-0.5299,-0.4583
9,-1.3377,-1.568
10,-1.3071,-1.2961
11,-1.4651,-1.3993
12,-0.797,-0.9489
13,-2.137,-2.4801
14,-1.5239,-1.2657
15,-1.0475,-0.7482
16,-1.0844,-1.0215
17,-1.2071,-1.1676
18,-0.6268,-0.8481
19,0.0251,-0.1617
20,-1.7738,-1.7777
21,-2.0117,-2.0871
22,-2.3388,-2.2611
23,-0.8496,-1.4024
24,-1.6657,-1.5493
25,-2.0867,-1.77
26,-1.9208,-2.2074
27,-1.818,-2.0388
28,-0.6387,-0.5659
29,-1.9786,-1.8555
30,-2.0223,-2.2332
31,-1.3699,-0.9231
32,-1.3983,-1.4873
33,-1.7187,-1.6045
34,-2.4881,-2.464
35,-1.3111,-1.1235
36,-2.2826,-2.3709
37,-1.7601,-1.998
38,-2.0242,-2.3386
39,-1.6315,-1.9206
40,-2.363,-2.5858
41,-1.5713,-1.4454
42,-1.0226,-0.9934
43,-1.7464,-1.4372
44,-1.1859,-1.3018
45,-1.129,-1.2599
46,-1.3964,-1.0251
47,-1.5325,-1.9638
48,-2.3159,-2.3013
49,-1.0525,-1.3833
50,-1.3897,-1.3532
51,-1.6613,-1.3665
52,-0.4127,-0.4235
53,-1.5525,-1.6473
54,-2.1437,-2.3754
55,-1.3166,-1.4699
56,-2.6567,-2.481
57,-1.8271,-1.9395
58,-2.0259,-2.0502
59,-1.086,-1.0401
60,-1.2139,-1.0578
61,-1.0218,-0.8401
62,-1.1152,-1.0274
63,-1.8144,-2.0446
64,-1.6208,-1.7646
65,-0.9738,-0.9885
66,-1.4623,-1.0572
67,-1.8799,-1.8946
68,-0.5758,-0.3857
69,-2.5093,-2.7699
70,-0.7498,-0.6718
71,-1.547,-1.5077
72,-0.7386,-0.466
73,-1.3656,-1.4286
74,-2.1949,-1.6009
75,-0.8984,-0.8622
76,-1.6388,-1.862
77,-1.7491,-1.78
78,-2.3256,-2.137
79,-1.4191,-1.3224
80,-2.1226,-2.2386
81,-2.6692,-2.6286
82,-1.5909,-1.9431
83,-1.9008,-1.5942
84,-1.0975,-0.7265
85,-2.2547,-2.031
86,-1.6445,-1.9433
87,-1.2864,-1.3859
88,-1.5511,-1.7584
89,-2.0255,-2.1361
90,-1.9976,-2.0169
91,-1.862,-1.8433
92,-1.6934,-1.5216
93,-1.9657,-1.944
94,-1.4278,-1.3142
95,-1.3954,-1.2543
96,-1.7803,-1.7395
97,-0.886,-0.876
98,-1.5324,-1.9582
99,-2.1942,-2.2211
100,-2.0961,-1.837
101,-1.9319,-2.1832
102,-1.6351,-1.4372
103,-0.9219,-1.0443
104,-2.1491,-2.034
105,-2.3988,-1.9953
106,-0.9492,-1.088
107,-1.0268,-0.6016
108,-2.0968,-1.8948
109,-2.0218,-2.1161
110,-2.0878,-2.3472
111,-1.7323,-1.8256
112,-2.0289,-1.8104
113,-1.1802,-1.2448
114,-1.9289,-2.1051
115,-2.0384,-1.8471
116,-0.7922,-0.7929
117,-1.9374,-1.9126
118,-1.2301,-0.9725
119,-0.8856,-1.0398
120,-1.2356,-1.3717
121,-1.6134,-1.5604
122,-2.0207,-1.8012
123,-1.2462,-1.0858
124,-1.2015,-1.2436
125,-1.3252,-1.288
126,-3.1115,-3.0448
127,-1.6319,-1.4933
128,-1.5463,-1.5204
129,-1.8142,-2.0657
130,-2.6669,-2.3855
131,-2.1683,-2.0891
132,-1.8392,-1.9984
133,-1.338,-1.429
134,-2.1969,-2.3184
135,-2.2868,-2.2557
136,-1.0551,-0.2924
137,-1.2175,-1.2948
138,-1.5838,-1.9886
139,-2.4288,-2.6943
140,-2.1064,-1.9237
141,-1.9172,-2.3563
142,-1.9231,-1.811
143,-2.2296,-2.2259
144,-1.2199,-0.909
145,-0.9886,-0.6764
146,-1.7944,-1.6694
147,-1.7675,-1.5566
148,-1.2964,-1.3112
149,-1.9531,-2.121
150,-2.3086,-2.3018
151,-1.4624,-1.5053
152,-2.7923,-3.0701
153,-2.2024,-2.2032
154,-1.7034,-1.7747
155,-1.6071,-1.6976
156,-1.8307,-2.125
157,-1.1951,-1.2425
158,-1.481,-1.374
159,-1.2995,-1.1143
160,-1.5779,-1.5741
161,-1.0453,-0.8839
162,-1.6864,-1.4224
163,-2.5079,-1.8669
164,-2.3148,-2.3697
165,-2.0322,-2.4405
166,-1.8788,-1.8143
167,-1.3517,-1.477
168,-1.34,-1.4476
169,-1.4097,-1.9229
170,-2.0541,-2.0512
171,-1.0872,-1.1765
172,-2.4446,-2.259
173,-1.9018,-2.0795
174,-2.3439,-2.1233
175,-2.0282,-1.5077
176,-1.7345,-1.5053
177,-2.1525,-2.2428
178,-1.4586,-1.8863
179,-2.3138,-1.9835
180,-1.2957,-1.4852
181,-1.0439,-1.2377
182,-1.7711,-2.0092
183,-1.6103,-1.7047
184,-1.3387,-1.1799
185,-1.9184,-2.4193
186,-1.4858,-1.3576
187,-2.1908,-1.9502
188,-1.7869,-1.2731
189,-1.3634,-1.5894
190,-2.3734,-2.2831
191,-2.0848,-2.3204
192,-1.9024,-1.7979
193,-1.5936,-1.0281
194,-0.9672,-1.0351
195,-1.6539,-2.0121
196,-1.4689,-1.3366
197,-1.9583,-1.9267
198,-2.2913,-2.0644
199,-2.3365,-2.4375
200,-0.4432,-0.6678
201,-3.2856,-3.0289
202,-2.1754,-2.4186
203,-1.4802,-1.923
204,-1.4171,-1.3523
205,-2.5284,-2.5745
206,-1.9195,-1.7877
207,-0.9641,-0.8694
208,-1.7162,-1.6251
209,-2.1414,-2.4572
210,-1.6677,-1.5835
211,-2.0814,-1.8408
212,-1.1729,-1.4223
213,-1.6069,-1.766
214,-0.9942,-0.9204
215,-0.6948,-0.5336
216,-1.8764,-1.9384
217,-2.3687,-2.3493
218,-2.7189,-2.6939
219,-1.5662,-1.5626
220,-1.064,-1.17
221,-1.721,-1.5937
222,-1.642,-1.8853
223,-1.4193,-1.984
224,-1.0332,-1.1293
225,-2.5497,-2.5438
226,-1.8624,-1.4683
227,-2.2723,-1.8377
228,-1.5253,-1.7153
229,-1.4509,-1.8227
230,-1.3721,-1.2466
231,-1.5432,-1.5631
232,-1.0616,-0.742
233,-1.4616,-1.5235
234,-1.7796,-1.5901
235,-1.4306,-1.1763
236,-1.6519,-1.7023
237,-2.762,-2.3965
238,-1.7997,-1.6341
239,-1.9935,-2.0427
240,-0.5775,-0.3461
241,-2.9776,-3.2171
242,-1.9571,-2.1819
243,-1.5914,-1.611
244,-2.2444,-2.4912
245,-1.7381,-1.4904
246,-1.2323,-1.4855
247,-1.9063,-1.3688
248,-1.9366,-2.0485
249,-1.8436,-1.5255
250,-2.0229,-1.9708
251,-1.8819,-1.521
252,-1.1332,-1.1539
253,-1.9103,-2.0318
254,-2.2089,-2.3804
255,-0.984,-0.4348
256,-1.1186,-1.1613
257,-1.9933,-2.0751
258,-1.9309,-2.0886
259,-1.0033,-1.2503
