model,feature_set,alpha,feature,standardised_coefficient,abs_standardised_coefficient
linear_regression,compact_5,,urine_albumin,-0.2442,0.2442
linear_regression,compact_5,,serum_creatinine,4.3884,4.3884
linear_regression,compact_5,,hba1c_le_58_mmol_mol_7_5pct,-1.5281,1.5281
linear_regression,compact_5,,blood_pressure_le_140_80,-2.0518,2.0518
linear_regression,compact_5,,combined_prevention_on_statins,-8.4701,8.4701
linear_regression,full_19,,hba1c,5.4867,5.4867
linear_regression,full_19,,blood_pressure,14.0616,14.0616
linear_regression,full_19,,cholesterol,-11.7948,11.7948
linear_regression,full_19,,serum_creatinine,12.924,12.924
linear_regression,full_19,,urine_albumin,26.0227,26.0227
linear_regression,full_19,,foot_surveillance,-4.1359,4.1359
linear_regression,full_19,,bmi,8.0583,8.0583
linear_regression,full_19,,smoking,-2.8081,2.8081
linear_regression,full_19,,all_eight_care_processes,-30.0829,30.0829
linear_regression,full_19,,hba1c_le_48_mmol_mol_6_5pct,5.5213,5.5213
linear_regression,full_19,,hba1c_le_53_mmol_mol_7_0pct,-10.3746,10.3746
linear_regression,full_19,,hba1c_le_58_mmol_mol_7_5pct,-5.3269,5.3269
linear_regression,full_19,,hba1c_le_75_mmol_mol_9_0pct,41.6675,41.6675
linear_regression,full_19,,hba1c_le_86_mmol_mol_10_0pct,-29.5132,29.5132
linear_regression,full_19,,blood_pressure_le_140_80,-5.8493,5.8493
linear_regression,full_19,,primary_prevention_on_statins_without_cvd_history,-37.2647,37.2647
linear_regression,full_19,,secondary_prevention_on_statins_with_cvd_history,-25.268,25.268
linear_regression,full_19,,combined_prevention_on_statins,50.8202,50.8202
linear_regression,full_19,,all_three_treatment_targets,7.9591,7.9591
ridge_regression,compact_5,0.01,urine_albumin,-0.2443,0.2443
ridge_regression,compact_5,0.01,serum_creatinine,4.3879,4.3879
ridge_regression,compact_5,0.01,hba1c_le_58_mmol_mol_7_5pct,-1.528,1.528
ridge_regression,compact_5,0.01,blood_pressure_le_140_80,-2.0517,2.0517
ridge_regression,compact_5,0.01,combined_prevention_on_statins,-8.4691,8.4691
ridge_regression,full_19,100.0,hba1c,1.4591,1.4591
ridge_regression,full_19,100.0,blood_pressure,2.5506,2.5506
ridge_regression,full_19,100.0,cholesterol,-0.5418,0.5418
ridge_regression,full_19,100.0,serum_creatinine,1.7472,1.7472
ridge_regression,full_19,100.0,urine_albumin,0.0372,0.0372
ridge_regression,full_19,100.0,foot_surveillance,-2.105,2.105
ridge_regression,full_19,100.0,bmi,2.7306,2.7306
ridge_regression,full_19,100.0,smoking,-2.8544,2.8544
ridge_regression,full_19,100.0,all_eight_care_processes,-0.1817,0.1817
ridge_regression,full_19,100.0,hba1c_le_48_mmol_mol_6_5pct,0.357,0.357
ridge_regression,full_19,100.0,hba1c_le_53_mmol_mol_7_0pct,-0.1815,0.1815
ridge_regression,full_19,100.0,hba1c_le_58_mmol_mol_7_5pct,-0.6759,0.6759
ridge_regression,full_19,100.0,hba1c_le_75_mmol_mol_9_0pct,1.1635,1.1635
ridge_regression,full_19,100.0,hba1c_le_86_mmol_mol_10_0pct,1.9223,1.9223
ridge_regression,full_19,100.0,blood_pressure_le_140_80,-0.6818,0.6818
ridge_regression,full_19,100.0,primary_prevention_on_statins_without_cvd_history,-1.1972,1.1972
ridge_regression,full_19,100.0,secondary_prevention_on_statins_with_cvd_history,-3.7731,3.7731
ridge_regression,full_19,100.0,combined_prevention_on_statins,-1.2224,1.2224
ridge_regression,full_19,100.0,all_three_treatment_targets,-1.4834,1.4834
