model,feature_set,feature,importance
gradient_boosting,compact_5,serum_creatinine,0.457
gradient_boosting,compact_5,combined_prevention_on_statins,0.1926
gradient_boosting,compact_5,urine_albumin,0.1664
gradient_boosting,compact_5,blood_pressure_le_140_80,0.1428
gradient_boosting,compact_5,hba1c_le_58_mmol_mol_7_5pct,0.0412
gradient_boosting,lag_plus_compact_5,lagged_ckd_rate,0.9192
gradient_boosting,lag_plus_compact_5,hba1c_le_58_mmol_mol_7_5pct,0.0218
gradient_boosting,lag_plus_compact_5,combined_prevention_on_statins,0.0206
gradient_boosting,lag_plus_compact_5,serum_creatinine,0.0182
gradient_boosting,lag_plus_compact_5,blood_pressure_le_140_80,0.0166
gradient_boosting,lag_plus_compact_5,urine_albumin,0.0037
random_forest,compact_5,serum_creatinine,0.4324
random_forest,compact_5,combined_prevention_on_statins,0.2355
random_forest,compact_5,urine_albumin,0.1354
random_forest,compact_5,blood_pressure_le_140_80,0.1103
random_forest,compact_5,hba1c_le_58_mmol_mol_7_5pct,0.0863
random_forest,lag_plus_compact_5,lagged_ckd_rate,0.5224
random_forest,lag_plus_compact_5,serum_creatinine,0.2039
random_forest,lag_plus_compact_5,combined_prevention_on_statins,0.1067
random_forest,lag_plus_compact_5,urine_albumin,0.0638
random_forest,lag_plus_compact_5,blood_pressure_le_140_80,0.0622
random_forest,lag_plus_compact_5,hba1c_le_58_mmol_mol_7_5pct,0.0409
