model,feature_set,alpha,feature,standardised_coefficient,abs_standardised_coefficient
residual_linear,compact_5,,urine_albumin,2.6413,2.6413
residual_linear,compact_5,,serum_creatinine,-4.7779,4.7779
residual_linear,compact_5,,hba1c_le_58_mmol_mol_7_5pct,-0.5879,0.5879
residual_linear,compact_5,,blood_pressure_le_140_80,-2.0848,2.0848
residual_linear,compact_5,,combined_prevention_on_statins,0.439,0.439
residual_linear,full_19,,hba1c,0.5736,0.5736
residual_linear,full_19,,blood_pressure,2.7852,2.7852
residual_linear,full_19,,cholesterol,-5.3248,5.3248
residual_linear,full_19,,serum_creatinine,-2.7058,2.7058
residual_linear,full_19,,urine_albumin,3.8038,3.8038
residual_linear,full_19,,foot_surveillance,-4.7615,4.7615
residual_linear,full_19,,bmi,-0.0587,0.0587
residual_linear,full_19,,smoking,3.9871,3.9871
residual_linear,full_19,,all_eight_care_processes,-3.4147,3.4147
residual_linear,full_19,,hba1c_le_48_mmol_mol_6_5pct,-4.1669,4.1669
residual_linear,full_19,,hba1c_le_53_mmol_mol_7_0pct,9.382,9.382
residual_linear,full_19,,hba1c_le_58_mmol_mol_7_5pct,-7.4434,7.4434
residual_linear,full_19,,hba1c_le_75_mmol_mol_9_0pct,-3.556,3.556
residual_linear,full_19,,hba1c_le_86_mmol_mol_10_0pct,6.2695,6.2695
residual_linear,full_19,,blood_pressure_le_140_80,-0.5616,0.5616
residual_linear,full_19,,primary_prevention_on_statins_without_cvd_history,22.7375,22.7375
residual_linear,full_19,,secondary_prevention_on_statins_with_cvd_history,5.187,5.187
residual_linear,full_19,,combined_prevention_on_statins,-27.1364,27.1364
residual_linear,full_19,,all_three_treatment_targets,0.7925,0.7925
residual_ridge,compact_5,10.0,urine_albumin,2.3207,2.3207
residual_ridge,compact_5,10.0,serum_creatinine,-4.2891,4.2891
residual_ridge,compact_5,10.0,hba1c_le_58_mmol_mol_7_5pct,-0.6529,0.6529
residual_ridge,compact_5,10.0,blood_pressure_le_140_80,-1.7884,1.7884
residual_ridge,compact_5,10.0,combined_prevention_on_statins,0.4151,0.4151
residual_ridge,full_19,1000.0,hba1c,-0.0787,0.0787
residual_ridge,full_19,1000.0,blood_pressure,-0.2696,0.2696
residual_ridge,full_19,1000.0,cholesterol,-0.3378,0.3378
residual_ridge,full_19,1000.0,serum_creatinine,-0.3592,0.3592
residual_ridge,full_19,1000.0,urine_albumin,0.1892,0.1892
residual_ridge,full_19,1000.0,foot_surveillance,-0.2501,0.2501
residual_ridge,full_19,1000.0,bmi,-0.1004,0.1004
residual_ridge,full_19,1000.0,smoking,-0.1141,0.1141
residual_ridge,full_19,1000.0,all_eight_care_processes,-0.0131,0.0131
residual_ridge,full_19,1000.0,hba1c_le_48_mmol_mol_6_5pct,-0.0411,0.0411
residual_ridge,full_19,1000.0,hba1c_le_53_mmol_mol_7_0pct,-0.0667,0.0667
residual_ridge,full_19,1000.0,hba1c_le_58_mmol_mol_7_5pct,-0.0805,0.0805
residual_ridge,full_19,1000.0,hba1c_le_75_mmol_mol_9_0pct,-0.0899,0.0899
residual_ridge,full_19,1000.0,hba1c_le_86_mmol_mol_10_0pct,-0.0665,0.0665
residual_ridge,full_19,1000.0,blood_pressure_le_140_80,-0.1033,0.1033
residual_ridge,full_19,1000.0,primary_prevention_on_statins_without_cvd_history,0.0717,0.0717
residual_ridge,full_19,1000.0,secondary_prevention_on_statins_with_cvd_history,0.0238,0.0238
residual_ridge,full_19,1000.0,combined_prevention_on_statins,0.0539,0.0539
residual_ridge,full_19,1000.0,all_three_treatment_targets,-0.1082,0.1082
