feature,mean_2019_20,mean_2020_21,mean_2021_22,std_2019_20,std_2020_21,std_2021_22,change_2019_20_to_2020_21,change_2020_21_to_2021_22,net_change_2019_20_to_2021_22,max_abs_adjacent_mean_change,spearman_2019_20_vs_2020_21,spearman_2020_21_vs_2021_22,spearman_2019_20_vs_2021_22,min_adjacent_rank_correlation,large_year_shift_flag,weak_rank_stability_flag
retinal_screening,80.559,48.928,68.272,3.476,7.464,10.818,-31.631,19.344,-12.287,31.631,0.413,-0.106,0.156,-0.106,True,True
all_nine_care_processes,52.214,20.927,37.131,8.006,6.04,8.132,-31.288,16.205,-15.083,31.288,0.551,0.561,0.72,0.551,True,False
foot_surveillance,83.594,59.4,69.936,2.457,6.163,5.728,-24.195,10.536,-13.658,24.195,0.71,0.787,0.742,0.71,True,False
all_eight_care_processes,58.264,36.957,47.672,8.627,8.14,7.09,-21.306,10.714,-10.592,21.306,0.633,0.894,0.645,0.633,True,False
urine_albumin,68.426,52.96,60.68,5.648,6.898,5.925,-15.466,7.721,-7.745,15.466,0.856,0.803,0.711,0.803,True,False
bmi,88.084,72.78,80.974,2.812,4.735,3.271,-15.304,8.194,-7.11,15.304,0.751,0.863,0.768,0.751,True,False
blood_pressure,95.363,82.786,88.48,0.656,3.221,2.163,-12.576,5.694,-6.882,12.576,0.579,0.906,0.652,0.579,True,False
cholesterol,90.855,79.518,84.558,1.094,2.704,2.26,-11.337,5.041,-6.297,11.337,0.401,0.822,0.538,0.401,True,True
hba1c,93.794,86.51,90.602,4.68,2.381,1.739,-7.284,4.092,-3.192,7.284,0.701,0.873,0.804,0.701,False,False
blood_pressure_le_140_80,73.213,66.061,66.165,2.282,2.826,2.688,-7.152,0.104,-7.048,7.152,0.872,0.933,0.809,0.872,False,False
serum_creatinine,92.366,86.089,90.877,7.623,4.928,1.739,-6.278,4.788,-1.489,6.278,0.754,0.877,0.819,0.754,False,False
smoking,95.15,89.149,91.549,1.168,2.113,1.754,-6.001,2.4,-3.601,6.001,0.822,0.878,0.783,0.822,False,False
all_three_treatment_targets,39.832,35.055,35.13,2.808,2.5,2.398,-4.777,0.074,-4.702,4.777,0.887,0.888,0.756,0.887,False,False
hba1c_le_58_mmol_mol_7_5pct,65.361,63.321,62.894,2.162,1.941,2.089,-2.04,-0.427,-2.467,2.04,0.708,0.912,0.717,0.708,False,False
hba1c_le_53_mmol_mol_7_0pct,51.432,49.899,49.296,2.394,2.018,2.156,-1.533,-0.603,-2.136,1.533,0.643,0.883,0.592,0.643,False,False
hba1c_le_75_mmol_mol_9_0pct,87.142,85.7,85.676,1.205,1.253,1.326,-1.442,-0.024,-1.465,1.442,0.824,0.949,0.848,0.824,False,False
primary_prevention_on_statins_without_cvd_history,71.578,71.232,72.271,2.52,2.337,2.061,-0.346,1.038,0.692,1.038,0.972,0.96,0.918,0.96,False,False
hba1c_le_86_mmol_mol_10_0pct,93.043,92.065,92.124,0.776,0.804,0.874,-0.978,0.059,-0.919,0.978,0.852,0.937,0.846,0.852,False,False
combined_prevention_on_statins,75.39,75.087,75.986,2.341,2.149,1.887,-0.303,0.899,0.596,0.899,0.978,0.971,0.928,0.971,False,False
hba1c_le_48_mmol_mol_6_5pct,32.137,31.338,30.61,2.748,1.837,1.899,-0.8,-0.728,-1.528,0.8,0.551,0.781,0.413,0.551,False,False
secondary_prevention_on_statins_with_cvd_history,85.81,85.828,86.371,2.467,2.275,2.13,0.018,0.542,0.561,0.542,0.988,0.991,0.973,0.988,False,False
