feature,audit_year,n,mean,std,min,median,max
hba1c,2018_19,42,95.306,0.838,93.262,95.363,96.563
hba1c,2019_20,42,93.794,4.68,64.715,94.419,96.026
hba1c,2020_21,42,86.51,2.381,81.642,86.499,91.116
hba1c,2021_22,42,90.602,1.739,87.279,90.321,94.338
blood_pressure,2018_19,42,96.207,0.512,94.659,96.167,97.088
blood_pressure,2019_20,42,95.363,0.656,93.414,95.297,96.52
blood_pressure,2020_21,42,82.786,3.221,75.101,82.81,88.032
blood_pressure,2021_22,42,88.48,2.163,83.767,88.644,92.174
cholesterol,2018_19,42,92.682,0.874,90.587,92.876,94.097
cholesterol,2019_20,42,90.855,1.094,88.445,91.093,92.679
cholesterol,2020_21,42,79.518,2.704,74.394,80.095,85.456
cholesterol,2021_22,42,84.558,2.26,80.326,84.522,89.761
serum_creatinine,2018_19,42,94.488,0.891,92.602,94.645,96.168
serum_creatinine,2019_20,42,92.366,7.623,62.218,94.604,95.951
serum_creatinine,2020_21,42,86.089,4.928,60.189,86.515,91.225
serum_creatinine,2021_22,42,90.877,1.739,87.797,90.853,94.552
urine_albumin,2018_19,42,60.785,9.597,30.663,61.943,79.177
urine_albumin,2019_20,42,68.426,5.648,52.857,69.046,78.854
urine_albumin,2020_21,42,52.96,6.898,35.218,52.53,65.663
urine_albumin,2021_22,42,60.68,5.925,42.385,61.791,73.044
foot_surveillance,2018_19,42,86.427,2.192,78.924,86.784,90.269
foot_surveillance,2019_20,42,83.594,2.457,73.854,83.816,87.511
foot_surveillance,2020_21,42,59.4,6.163,40.715,59.33,71.807
foot_surveillance,2021_22,42,69.936,5.728,43.044,70.995,79.32
bmi,2018_19,42,88.613,2.724,79.697,89.54,92.283
bmi,2019_20,42,88.084,2.812,80.262,88.979,91.844
bmi,2020_21,42,72.78,4.735,61.962,73.255,81.815
bmi,2021_22,42,80.974,3.271,74.053,81.638,87.102
smoking,2018_19,42,95.478,1.225,92.189,95.632,97.154
smoking,2019_20,42,95.15,1.168,92.717,95.387,97.097
smoking,2020_21,42,89.149,2.113,84.742,89.385,93.216
smoking,2021_22,42,91.549,1.754,87.404,91.502,95.444
all_eight_care_processes,2018_19,42,53.937,9.332,24.439,52.901,73.34
all_eight_care_processes,2019_20,42,58.264,8.627,29.751,59.86,70.282
all_eight_care_processes,2020_21,42,36.957,8.14,14.422,37.868,52.861
all_eight_care_processes,2021_22,42,47.672,7.09,26.142,48.514,63.041
hba1c_le_48_mmol_mol_6_5pct,2018_19,42,32.967,2.417,26.972,33.383,37.505
hba1c_le_48_mmol_mol_6_5pct,2019_20,42,32.137,2.748,24.146,32.458,36.501
hba1c_le_48_mmol_mol_6_5pct,2020_21,42,31.338,1.837,27.875,31.308,36.099
hba1c_le_48_mmol_mol_6_5pct,2021_22,42,30.61,1.899,27.417,30.42,34.654
hba1c_le_53_mmol_mol_7_0pct,2018_19,42,52.372,2.355,46.228,52.78,56.079
hba1c_le_53_mmol_mol_7_0pct,2019_20,42,51.432,2.394,43.847,51.568,54.64
hba1c_le_53_mmol_mol_7_0pct,2020_21,42,49.899,2.018,45.522,50.123,55.565
hba1c_le_53_mmol_mol_7_0pct,2021_22,42,49.296,2.156,45.495,49.331,53.881
hba1c_le_58_mmol_mol_7_5pct,2018_19,42,66.356,2.11,60.455,66.696,69.834
hba1c_le_58_mmol_mol_7_5pct,2019_20,42,65.361,2.162,58.142,65.899,68.648
hba1c_le_58_mmol_mol_7_5pct,2020_21,42,63.321,1.941,59.07,63.539,68.796
hba1c_le_58_mmol_mol_7_5pct,2021_22,42,62.894,2.089,58.85,63.005,67.128
hba1c_le_75_mmol_mol_9_0pct,2018_19,42,87.768,1.16,85.584,87.74,90.148
hba1c_le_75_mmol_mol_9_0pct,2019_20,42,87.142,1.205,83.844,87.178,89.338
hba1c_le_75_mmol_mol_9_0pct,2020_21,42,85.7,1.253,83.188,85.739,88.629
hba1c_le_75_mmol_mol_9_0pct,2021_22,42,85.676,1.326,82.746,85.643,88.182
hba1c_le_86_mmol_mol_10_0pct,2018_19,42,93.46,0.731,92.044,93.355,94.995
hba1c_le_86_mmol_mol_10_0pct,2019_20,42,93.043,0.776,91.336,92.968,94.314
hba1c_le_86_mmol_mol_10_0pct,2020_21,42,92.065,0.804,90.082,92.139,93.663
hba1c_le_86_mmol_mol_10_0pct,2021_22,42,92.124,0.874,89.854,92.12,93.667
blood_pressure_le_140_80,2018_19,42,74.035,2.44,67.172,74.257,78.117
blood_pressure_le_140_80,2019_20,42,73.213,2.282,67.003,73.483,77.943
